food_name,food_type,category,protein_g,carbs_g,fat_g,fiber_g,calories_kcal,vitamins,minerals,vaat_suitable,pit_suitable,cough_suitable,vaat_rating,pit_rating,cough_rating,health_tags,body_type,suitability_label,recommendation,suitability_reason
Olive Oil,Veg,Oils,0.0,0.0,102.47,0.0,943.4,"E,K",,Yes,Yes,Yes,4,4,4,"Heart Healthy,Antioxidant",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Lamb,Non-Veg,Red Meat,25.27,0.0,7.2,0.0,254.3,"B12,B3","Fe,Zn",Yes,No,No,4,2,2,Iron Rich,Pit,not_suitable,No,Excessive sweetness combined with heaviness disturbs Pitta.
Chicken Breast,Non-Veg,Poultry,32.12,0.0,3.51,0.0,158.9,"B3,B6,B12","Se,P",Yes,No,No,4,2,2,Lean Protein,Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Prawn/Shrimp,Non-Veg,Seafood,24.08,0.19,0.31,0.0,97.5,"B12,D,B3","Se,P",No,Yes,No,2,4,2,"Low Fat,High Protein",Cough (Kapha),not_suitable,No,Difficult to digest – adds to Kapha's naturally slow digestion.
Chicken Thigh,Non-Veg,Poultry,26.83,0.0,5.57,0.0,208.2,"B3,B6,B12","Se,P",Yes,No,No,4,2,2,"Juicy,Protein Rich",Cough (Kapha),not_suitable,No,Excessive sweetness increases Kapha and promotes water retention.
Cow Milk,Veg,Dairy,3.38,4.91,3.58,0.0,61.4,"B12,B2,D","Ca,K",Yes,Yes,No,5,4,2,"Nutritious,Calcium Rich",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Quinoa,Veg,Grains,4.56,19.01,1.93,2.68,122.6,"B1,B2,B9","Mg,Fe,Zn",Yes,Yes,Yes,5,4,4,"Complete Protein,Gluten Free",Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Mustard Oil,Veg,Oils,0.0,0.0,102.04,0.0,943.8,E,,Yes,No,No,4,2,2,"Warming,Pungent",Pit,not_suitable,No,"Hot, sour, or spicy qualities significantly aggravate Pitta dosha."
Carrot,Veg,Vegetables,0.88,9.79,0.2,2.73,42.2,"A,B6,C","K,Ca",Yes,Yes,Yes,5,4,4,"Eye Health,Antioxidant",Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Chia Seeds,Veg,Nuts & Seeds,16.94,44.12,30.97,35.65,508.9,"B1,B3","Ca,Mg",Yes,Yes,Yes,4,4,4,"Omega-3,Hydrophilic",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Ragi,Veg,Grains,1.71,22.6,0.48,0.96,98.1,"B1,B2","Ca,Fe",Yes,Yes,Yes,4,4,4,"Calcium Rich,Gluten Free",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Spinach,Veg,Leafy Greens,2.83,3.64,0.41,2.13,22.3,"K,A,C,B9","Fe,Ca",Yes,Yes,Yes,4,4,4,"Iron Rich,Antioxidant",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
Edamame,Vegan,Legumes,11.7,8.54,5.15,5.3,123.2,"B9,C","Ca,Fe",Yes,Yes,Yes,4,4,4,Complete Protein,Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Beef,Non-Veg,Red Meat,26.61,0.0,15.16,0.0,246.4,"B12,B3","Fe,Zn",No,No,No,2,2,2,"Heavy,Rich",Pit,not_suitable,No,Excessive sweetness combined with heaviness disturbs Pitta.
Turkey,Non-Veg,Poultry,28.6,0.0,7.33,0.0,198.2,"B3,B6,B12","Se,Zn",Yes,No,No,4,2,2,"Lean,Low Fat",Pit,not_suitable,No,Fermented or sour – worsens acid and inflammation in Pitta types.
Spirulina,Vegan,Supplements,56.72,7.68,7.81,1.04,277.3,"B12,B1","Fe,Mg",Yes,Yes,Yes,4,4,4,"Superfood,Iron Rich",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Coconut Oil,Veg,Oils,0.0,0.0,104.85,0.0,884.4,E,,Yes,Yes,No,5,4,2,"MCT,Antimicrobial",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Onion,Veg,Vegetables,1.11,9.63,0.1,1.65,40.5,"C,B6","K,Ca",Yes,No,No,4,2,2,"Pungent,Warming",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Amaranth Leaves,Veg,Leafy Greens,2.62,3.55,0.51,1.93,22.7,"A,C,K","Ca,Fe",Yes,Yes,Yes,4,4,4,"Alkaline,Nutritious",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
Palak,Veg,Leafy Greens,2.9,3.71,0.4,2.23,24.0,"K,A,C","Fe,Ca",Yes,Yes,Yes,4,4,4,Iron Rich,Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Mutton (Goat),Non-Veg,Red Meat,26.09,0.0,3.05,0.0,117.9,"B12,B3","Fe,Zn",Yes,No,No,4,2,2,"Iron Rich,Warming",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Chana Dal,Veg,Legumes,8.99,28.34,1.67,5.01,171.0,"B9,B1","Fe,Mg",No,Yes,Yes,2,4,4,Fiber Rich,Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Pistachios,Veg,Nuts & Seeds,21.51,27.66,43.33,10.04,541.8,"B6,B1","Cu,Mn",Yes,Yes,No,4,4,2,Complete Nutrition,Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Bone Broth,Non-Veg,Soups,6.18,0.48,1.91,0.0,37.9,B12,"Ca,Mg",Yes,No,No,5,2,2,"Gut Healing,Collagen",Pit,not_suitable,No,Heating properties increase internal heat – avoid when Pitta is elevated.
Avocado,Vegan,Fruits,1.92,8.52,14.94,6.58,160.4,"K,E,C","K,Mg",Yes,Yes,Yes,4,4,4,"Healthy Fat,Omega-9",Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Sesame Oil,Veg,Oils,0.0,0.0,101.43,0.0,867.2,E,,Yes,No,No,5,2,2,"Warming,Anti-aging",Cough (Kapha),not_suitable,No,Excessive sweetness increases Kapha and promotes water retention.
Mackerel,Non-Veg,Fish,19.84,0.0,13.81,0.0,195.2,"B12,D,B3","Se,P",Yes,No,No,4,2,2,Omega-3 Rich,Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Urad Dal,Veg,Legumes,8.59,19.78,0.9,3.39,126.3,"B9,B1","Fe,K",Yes,No,No,4,2,2,"Heavy,Strengthening",Pit,not_suitable,No,Pungent taste fans Pitta's inner fire.
Jackfruit (raw),Vegan,Fruits,1.7,22.9,0.31,1.47,95.8,"C,B6","K,Mg",Yes,No,No,4,2,2,Meat Substitute,Cough (Kapha),not_suitable,No,Heavy and oily properties increase Kapha – leads to weight gain and congestion.
Sesame Oil,Veg,Oils,0.0,0.0,100.34,0.0,882.3,E,,Yes,No,No,5,2,2,"Warming,Anti-aging",Cough (Kapha),not_suitable,No,Sweet and cold nature aggravates Kapha's already heavy and damp qualities.
Drumstick Leaves,Veg,Leafy Greens,8.98,8.57,1.45,2.05,92.2,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Palak,Veg,Leafy Greens,2.95,3.44,0.39,2.19,22.3,"K,A,C","Fe,Ca",Yes,Yes,Yes,4,4,4,Iron Rich,Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Beetroot,Veg,Vegetables,1.53,9.32,0.19,2.84,40.9,"B9,C,B6","Fe,K,Mn",Yes,No,Yes,4,2,4,Blood Purifier,Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Mango,Veg,Fruits,0.83,13.31,0.39,1.65,62.0,"A,C,B6","K,Mg",Yes,No,No,4,2,2,Vitamin A Rich,Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Palak,Veg,Leafy Greens,2.86,3.72,0.38,2.12,22.4,"K,A,C","Fe,Ca",Yes,Yes,Yes,4,4,4,Iron Rich,Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Blueberries,Vegan,Fruits,0.71,14.8,0.31,2.35,59.5,"C,K,B9","Mn,K",Yes,Yes,Yes,4,4,4,"Antioxidant,Brain Health",Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Edamame,Vegan,Legumes,11.79,8.46,5.37,5.14,125.1,"B9,C","Ca,Fe",Yes,Yes,Yes,4,4,4,Complete Protein,Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Drumstick Leaves,Veg,Leafy Greens,9.49,8.41,1.39,2.04,91.5,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Avocado,Vegan,Fruits,1.91,8.17,14.2,6.9,153.1,"K,E,C","K,Mg",Yes,Yes,Yes,4,4,4,"Healthy Fat,Omega-9",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
Sesame Seeds,Veg,Nuts & Seeds,18.49,25.66,50.6,12.31,567.2,"B1,B9","Ca,Fe",Yes,No,No,4,2,2,"Calcium Rich,Warming",Pit,not_suitable,No,Heating properties increase internal heat – avoid when Pitta is elevated.
Sesame Seeds,Veg,Nuts & Seeds,18.33,25.67,51.0,11.68,595.1,"B1,B9","Ca,Fe",Yes,No,No,4,2,2,"Calcium Rich,Warming",Pit,not_suitable,No,Fermented or sour – worsens acid and inflammation in Pitta types.
Broccoli,Veg,Vegetables,2.9,6.4,0.4,2.48,33.9,"C,K,B9","K,Ca",Yes,Yes,Yes,4,5,4,"Antioxidant,Anti-Cancer",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Rajma,Veg,Legumes,8.99,21.31,0.51,6.6,123.7,"B9,B1,B6","Fe,K,Mg",No,Yes,No,2,4,2,Protein Rich,Vaat,not_suitable,No,"Cold, dry, or pungent qualities aggravate Vaat dosha."
Coconut Milk,Vegan,Dairy Alt,2.35,2.39,21.87,2.24,197.1,B12,"Mn,Cu",Yes,No,No,4,2,2,"Rich,Warming",Pit,not_suitable,No,Excessive sweetness combined with heaviness disturbs Pitta.
Drumstick Leaves,Veg,Leafy Greens,8.97,7.9,1.35,2.07,89.7,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Palak,Veg,Leafy Greens,2.81,3.65,0.4,2.12,22.5,"K,A,C","Fe,Ca",Yes,Yes,Yes,4,4,4,Iron Rich,Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Poha,Veg,Grains,2.03,22.62,0.41,0.48,109.3,"B1,B3","Fe,Mg",Yes,Yes,Yes,4,4,4,"Light,Easy Digest",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Bitter Gourd,Veg,Vegetables,0.98,4.15,0.2,2.75,16.3,"C,B9","Fe,K",No,Yes,Yes,2,5,4,Diabetes Control,Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Poha,Veg,Grains,2.01,23.27,0.39,0.52,108.6,"B1,B3","Fe,Mg",Yes,Yes,Yes,4,4,4,"Light,Easy Digest",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Green Moong Sprouts,Veg,Legumes,2.85,5.7,0.19,1.78,30.2,"C,B9","Fe,K",Yes,Yes,Yes,5,5,5,"Live Food,Enzyme Rich",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Beetroot,Veg,Vegetables,1.61,9.19,0.2,2.92,44.9,"B9,C,B6","Fe,K,Mn",Yes,No,Yes,4,2,4,Blood Purifier,Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Hemp Seeds,Vegan,Nuts & Seeds,32.19,8.6,50.8,3.9,552.5,"B1,B9","Mg,Fe",Yes,Yes,Yes,5,4,4,"Complete Protein,Omega",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Ridge Gourd,Veg,Vegetables,0.7,3.85,0.2,0.62,19.4,"C,B6","Fe,Ca",Yes,Yes,Yes,4,5,5,"Light,Cooling",Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Potato,Veg,Vegetables,2.09,16.81,0.1,2.13,78.8,"C,B6,B9","K,Mg",Yes,No,No,4,2,2,"Heavy,Kapha Increasing",Cough (Kapha),not_suitable,No,Sweet and cold nature aggravates Kapha's already heavy and damp qualities.
Watermelon,Veg,Fruits,0.57,7.93,0.21,0.41,31.5,"A,C,B6","K,Mg",No,Yes,No,2,5,2,"Cooling,Hydrating",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Toor Dal,Veg,Legumes,6.99,15.65,0.42,2.89,117.4,"B9,B1","Fe,K",Yes,Yes,Yes,4,4,4,"Light,Daily Use",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Papaya,Veg,Fruits,0.49,9.96,0.29,1.81,41.9,"A,C,B9","K,Mg",Yes,Yes,Yes,5,4,4,"Digestive,Anti-Inflammatory",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Duck,Non-Veg,Poultry,18.42,0.0,28.85,0.0,350.5,"B3,B6,B12","Fe,Zn",No,No,No,2,2,2,"Rich,Fatty",Vaat,not_suitable,No,Gaseous properties disturb Vaat and digestive function.
Pistachios,Veg,Nuts & Seeds,20.9,26.42,43.68,9.9,570.6,"B6,B1","Cu,Mn",Yes,Yes,No,4,4,2,Complete Nutrition,Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Capsicum,Veg,Vegetables,0.86,5.83,0.3,2.03,30.6,"C,B6,A","K,Mg",No,No,Yes,2,2,4,Vitamin C Rich,Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Sunflower Seeds,Veg,Nuts & Seeds,21.72,19.05,49.99,8.66,564.9,"E,B1","Se,Mg",Yes,Yes,No,4,4,2,Vitamin E Rich,Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Tuna,Non-Veg,Fish,30.71,0.0,0.5,0.0,123.5,"B12,D,B3","Se,P",Yes,Yes,No,4,4,2,"Lean Protein,Omega",Cough (Kapha),not_suitable,No,Excessive sweetness increases Kapha and promotes water retention.
Garlic,Veg,Spices,6.64,31.88,0.52,2.06,155.5,"B6,C","Mn,Ca,Se",Yes,No,No,5,2,2,"Antibacterial,Immunity",Pit,not_suitable,No,Heating properties increase internal heat – avoid when Pitta is elevated.
Coconut Milk,Vegan,Dairy Alt,2.34,2.47,20.42,2.09,204.1,B12,"Mn,Cu",Yes,No,No,4,2,2,"Rich,Warming",Cough (Kapha),not_suitable,No,Heavy and oily properties increase Kapha – leads to weight gain and congestion.
Ragi,Veg,Grains,1.67,22.88,0.49,0.97,96.2,"B1,B2","Ca,Fe",Yes,Yes,Yes,4,4,4,"Calcium Rich,Gluten Free",Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Poha,Veg,Grains,2.08,23.19,0.41,0.5,112.2,"B1,B3","Fe,Mg",Yes,Yes,Yes,4,4,4,"Light,Easy Digest",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Tomato,Veg,Vegetables,0.93,3.77,0.21,1.16,17.3,"C,K,A","K,Ca",No,No,Yes,2,2,4,"Cooling,Acidic",Pit,not_suitable,No,"Hot, sour, or spicy qualities significantly aggravate Pitta dosha."
Oat Milk,Vegan,Dairy Alt,1.01,16.21,1.53,0.78,81.7,"B12,D",Ca,Yes,Yes,Yes,4,4,4,Fiber Rich,Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Bitter Gourd,Veg,Vegetables,1.04,4.13,0.19,2.91,17.0,"C,B9","Fe,K",No,Yes,Yes,2,5,4,Diabetes Control,Vaat,not_suitable,No,Light and airy nature increases Vaat imbalance.
Lassi (sweet),Veg,Dairy,3.43,9.44,2.47,0.0,75.5,"B12,B2","Ca,K",Yes,No,No,4,2,2,Probiotic,Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Ghee,Veg,Dairy,0.0,0.0,103.86,0.0,934.8,"A,D,E,K",,Yes,Yes,No,5,4,2,"Digestive,Nourishing",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Poha,Veg,Grains,2.02,23.41,0.42,0.48,114.8,"B1,B3","Fe,Mg",Yes,Yes,Yes,4,4,4,"Light,Easy Digest",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Blueberries,Vegan,Fruits,0.69,14.92,0.31,2.37,59.8,"C,K,B9","Mn,K",Yes,Yes,Yes,4,4,4,"Antioxidant,Brain Health",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Walnuts,Veg,Nuts & Seeds,15.59,13.88,62.85,6.94,633.9,"E,B6,B9","Mn,Cu",Yes,No,No,4,2,2,"Omega-3,Brain Health",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Sweet Potato,Veg,Vegetables,1.6,20.81,0.1,2.92,84.3,"A,B6,C","K,Mn",Yes,No,Yes,5,2,4,"Energy,Beta-Carotene",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Ghee,Veg,Dairy,0.0,0.0,102.6,0.0,862.2,"A,D,E,K",,Yes,Yes,No,5,4,2,"Digestive,Nourishing",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Pistachios,Veg,Nuts & Seeds,21.37,28.36,43.08,10.38,550.9,"B6,B1","Cu,Mn",Yes,Yes,No,4,4,2,Complete Nutrition,Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Broccoli,Veg,Vegetables,2.77,6.73,0.39,2.57,33.5,"C,K,B9","K,Ca",Yes,Yes,Yes,4,5,4,"Antioxidant,Anti-Cancer",Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Chia Seeds,Veg,Nuts & Seeds,16.84,40.55,30.23,33.58,471.1,"B1,B3","Ca,Mg",Yes,Yes,Yes,4,4,4,"Omega-3,Hydrophilic",Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Potato,Veg,Vegetables,2.08,17.71,0.1,2.24,75.6,"C,B6,B9","K,Mg",Yes,No,No,4,2,2,"Heavy,Kapha Increasing",Pit,not_suitable,No,"Hot, sour, or spicy qualities significantly aggravate Pitta dosha."
Chia Seeds,Veg,Nuts & Seeds,17.01,43.39,29.49,32.94,479.8,"B1,B3","Ca,Mg",Yes,Yes,Yes,4,4,4,"Omega-3,Hydrophilic",Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Soybean,Veg,Legumes,17.47,11.4,8.56,5.71,178.3,"B9,B1,B2","Fe,Ca,Mg",No,No,No,2,2,2,"Heavy,High Protein",Cough (Kapha),not_suitable,No,Sweet and cold nature aggravates Kapha's already heavy and damp qualities.
Oat Milk,Vegan,Dairy Alt,1.01,16.75,1.57,0.81,77.7,"B12,D",Ca,Yes,Yes,Yes,4,4,4,Fiber Rich,Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Blueberries,Vegan,Fruits,0.67,14.8,0.29,2.46,54.6,"C,K,B9","Mn,K",Yes,Yes,Yes,4,4,4,"Antioxidant,Brain Health",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Masoor Dal,Veg,Legumes,8.55,20.58,0.39,3.82,111.1,"B9,B1,B6","Fe,K,Mg",Yes,Yes,Yes,4,4,4,"Protein Rich,Light",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Ginger,Veg,Spices,1.74,18.37,0.82,2.0,81.7,"B6,C","Mg,K",Yes,No,Yes,5,2,4,"Digestive,Anti-Nausea",Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Paneer,Veg,Dairy,11.4,1.15,19.37,0.0,256.4,"B12,B2,D","Ca,K",Yes,Yes,No,4,4,2,"Protein Rich,Calcium",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Broccoli,Veg,Vegetables,2.91,6.65,0.39,2.5,34.9,"C,K,B9","K,Ca",Yes,Yes,Yes,4,5,4,"Antioxidant,Anti-Cancer",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Drumstick Leaves,Veg,Leafy Greens,9.64,8.07,1.39,2.07,90.1,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Guava,Veg,Fruits,2.53,13.94,0.98,5.26,64.6,"C,B9,A","K,Ca",Yes,Yes,Yes,4,4,4,"Vitamin C Rich,Fiber",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Jackfruit (raw),Vegan,Fruits,1.74,22.96,0.29,1.48,97.2,"C,B6","K,Mg",Yes,No,No,4,2,2,Meat Substitute,Pit,not_suitable,No,Fermented or sour – worsens acid and inflammation in Pitta types.
Oat Milk,Vegan,Dairy Alt,1.02,16.64,1.49,0.84,80.4,"B12,D",Ca,Yes,Yes,Yes,4,4,4,Fiber Rich,Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Garlic,Veg,Spices,6.53,33.45,0.52,2.11,152.4,"B6,C","Mn,Ca,Se",Yes,No,No,5,2,2,"Antibacterial,Immunity",Cough (Kapha),not_suitable,No,Promotes mucus formation – avoid during Kapha imbalance.
Garlic,Veg,Spices,6.56,33.04,0.5,2.16,146.2,"B6,C","Mn,Ca,Se",Yes,No,No,5,2,2,"Antibacterial,Immunity",Pit,not_suitable,No,Fermented or sour – worsens acid and inflammation in Pitta types.
Tuna,Non-Veg,Fish,30.16,0.0,0.49,0.0,127.5,"B12,D,B3","Se,P",Yes,Yes,No,4,4,2,"Lean Protein,Omega",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Mutton (Goat),Non-Veg,Red Meat,25.92,0.0,2.9,0.0,120.6,"B12,B3","Fe,Zn",Yes,No,No,4,2,2,"Iron Rich,Warming",Pit,not_suitable,No,Excessive sweetness combined with heaviness disturbs Pitta.
Oats,Veg,Grains,2.37,12.44,1.35,1.68,67.6,"B1,B5","Mn,P,Mg",Yes,Yes,Yes,5,4,4,"Heart Healthy,Fiber Rich",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Bone Broth,Non-Veg,Soups,5.79,0.52,1.94,0.0,37.9,B12,"Ca,Mg",Yes,No,No,5,2,2,"Gut Healing,Collagen",Cough (Kapha),not_suitable,No,Sweet and cold nature aggravates Kapha's already heavy and damp qualities.
Ash Gourd,Veg,Vegetables,0.38,3.96,0.1,0.84,13.1,"C,B9","K,Ca",Yes,Yes,Yes,4,5,5,"Cooling,Weight Loss",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Pumpkin,Veg,Vegetables,1.01,6.5,0.1,0.52,26.0,"A,C,B6","K,Mg",Yes,Yes,Yes,5,5,5,"Tri-doshic,Sweet",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Blueberries,Vegan,Fruits,0.73,13.87,0.29,2.39,55.8,"C,K,B9","Mn,K",Yes,Yes,Yes,4,4,4,"Antioxidant,Brain Health",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Zucchini,Veg,Vegetables,1.24,3.07,0.29,0.98,16.4,"C,B6","K,Mg",Yes,Yes,Yes,4,5,4,"Light,Cooling",Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Nutritional Yeast,Vegan,Supplements,13.9,6.74,0.48,2.93,46.0,"B12,B1,B2","Zn,Se",Yes,Yes,Yes,4,4,4,"Complete Protein,B12",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Beef,Non-Veg,Red Meat,25.76,0.0,14.73,0.0,247.9,"B12,B3","Fe,Zn",No,No,No,2,2,2,"Heavy,Rich",Cough (Kapha),not_suitable,No,Sweet and cold nature aggravates Kapha's already heavy and damp qualities.
Cauliflower,Veg,Vegetables,1.98,5.2,0.3,2.08,24.9,"C,B9","K,Ca",No,Yes,Yes,2,4,4,Light,Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Sweet Potato,Veg,Vegetables,1.61,19.66,0.1,2.89,84.5,"A,B6,C","K,Mn",Yes,No,Yes,5,2,4,"Energy,Beta-Carotene",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Nutritional Yeast,Vegan,Supplements,14.29,7.08,0.52,2.92,45.3,"B12,B1,B2","Zn,Se",Yes,Yes,Yes,4,4,4,"Complete Protein,B12",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
Wheat Roti,Veg,Grains,3.74,17.79,0.39,1.18,90.3,"B1,B2","Fe,Ca",Yes,Yes,Yes,4,4,4,"Staple,Fiber Rich",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Buttermilk,Veg,Dairy,3.06,4.85,0.87,0.0,40.8,"B12,B2","Ca,K",Yes,Yes,Yes,4,4,4,"Digestive,Light",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Banana,Veg,Fruits,1.07,23.31,0.29,2.68,88.8,"B6,C","K,Mg",Yes,No,No,5,2,2,"Energy,High Potassium",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Green Moong Sprouts,Veg,Legumes,3.0,5.89,0.21,1.75,30.9,"C,B9","Fe,K",Yes,Yes,Yes,5,5,5,"Live Food,Enzyme Rich",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Drumstick Leaves,Veg,Leafy Greens,9.04,8.49,1.43,1.94,94.7,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Potato,Veg,Vegetables,1.98,17.54,0.1,2.15,74.3,"C,B6,B9","K,Mg",Yes,No,No,4,2,2,"Heavy,Kapha Increasing",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Oats,Veg,Grains,2.3,11.96,1.46,1.64,68.9,"B1,B5","Mn,P,Mg",Yes,Yes,Yes,5,4,4,"Heart Healthy,Fiber Rich",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Coconut Oil,Veg,Oils,0.0,0.0,104.37,0.0,872.8,E,,Yes,Yes,No,5,4,2,"MCT,Antimicrobial",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Almond Milk,Vegan,Dairy Alt,0.39,3.27,1.15,0.48,17.6,"E,D",Ca,Yes,Yes,Yes,5,4,4,"Light,Dairy Free",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
